,klimaRetires_id,klimaRetires_timestamp,klimaRetires_amount,klimaRetires_beneficiary,klimaRetires_beneficiaryAddress,klimaRetires_certificateTokenID,klimaRetires_feeAmount,klimaRetires_index,klimaRetires_pool,klimaRetires_retirementMessage,klimaRetires_token,klimaRetires_retiringAddress,klimaRetires_specific
0,16461840240xaa7dbd1598251f856c12f63557a4c4397c253cea,1646184024,1.0,"""The Planet""",0xddff75a29eb4bfecf65380de9a75ad08c140ea49,,0.01,0,0xaa7dbd1598251f856c12f63557a4c4397c253cea,"""Let's Go!""",MCO2,0xede3bd57a04960e6469b70b4863ce1c9d9363cb8,False
1,16461844330xaa7dbd1598251f856c12f63557a4c4397c253cea,1646184433,1.0,"""The Planet""",0xddff75a29eb4bfecf65380de9a75ad08c140ea49,,0.01,1,0xaa7dbd1598251f856c12f63557a4c4397c253cea,"""Let's Go!""",MCO2,0xede3bd57a04960e6469b70b4863ce1c9d9363cb8,False
2,16461845210xaa7dbd1598251f856c12f63557a4c4397c253cea,1646184521,1.0,"""The Planet""",0xddff75a29eb4bfecf65380de9a75ad08c140ea49,,0.01,2,0xaa7dbd1598251f856c12f63557a4c4397c253cea,"""Let's Go!""",MCO2,0xede3bd57a04960e6469b70b4863ce1c9d9363cb8,False
3,16461849890xaa7dbd1598251f856c12f63557a4c4397c253cea,1646184989,0.5,"""The Planet""",0xddff75a29eb4bfecf65380de9a75ad08c140ea49,,0.005,3,0xaa7dbd1598251f856c12f63557a4c4397c253cea,"""Let's Go!""",MCO2,0xede3bd57a04960e6469b70b4863ce1c9d9363cb8,False
4,16461851170xaa7dbd1598251f856c12f63557a4c4397c253cea,1646185117,0.5,"""The Planet""",0xddff75a29eb4bfecf65380de9a75ad08c140ea49,,0.005,4,0xaa7dbd1598251f856c12f63557a4c4397c253cea,"""Let's Go!""",MCO2,0xede3bd57a04960e6469b70b4863ce1c9d9363cb8,False
5,16461851830xaa7dbd1598251f856c12f63557a4c4397c253cea,1646185183,0.5,"""The Planet""",0xddff75a29eb4bfecf65380de9a75ad08c140ea49,,0.005,5,0xaa7dbd1598251f856c12f63557a4c4397c253cea,"""Let's Go!""",MCO2,0xede3bd57a04960e6469b70b4863ce1c9d9363cb8,False
6,16461859830xaa7dbd1598251f856c12f63557a4c4397c253cea,1646185983,0.01,,0x0331897bc7fe019e00554736fb4e4651c1551236,,0.0001,0,0xaa7dbd1598251f856c12f63557a4c4397c253cea, Retired via KlimaDAO,MCO2,0xede3bd57a04960e6469b70b4863ce1c9d9363cb8,False
7,16461861850xaa7dbd1598251f856c12f63557a4c4397c253cea,1646186185,0.001,,0x0331897bc7fe019e00554736fb4e4651c1551236,,1e-05,1,0xaa7dbd1598251f856c12f63557a4c4397c253cea, Retired via KlimaDAO,MCO2,0xede3bd57a04960e6469b70b4863ce1c9d9363cb8,False
8,16461863790xaa7dbd1598251f856c12f63557a4c4397c253cea,1646186379,0.001,,0x0331897bc7fe019e00554736fb4e4651c1551236,,1e-05,2,0xaa7dbd1598251f856c12f63557a4c4397c253cea, Retired via KlimaDAO,MCO2,0xede3bd57a04960e6469b70b4863ce1c9d9363cb8,False
9,16461865210xaa7dbd1598251f856c12f63557a4c4397c253cea,1646186521,0.001,,0x0331897bc7fe019e00554736fb4e4651c1551236,,1e-05,3,0xaa7dbd1598251f856c12f63557a4c4397c253cea, Retired via KlimaDAO,MCO2,0xede3bd57a04960e6469b70b4863ce1c9d9363cb8,False
